epoch,avg training loss,avg validation loss,avg training mae,avg validation mae
81,tensor(0.0539),0.05267791771819155,tensor(0.1897),tensor(0.2065)
82,tensor(0.0402),0.0682341443947317,tensor(0.1587),tensor(0.2353)
83,tensor(0.0423),0.046934904262481494,tensor(0.1647),tensor(0.1870)
84,tensor(0.0378),0.07977784842484656,tensor(0.1575),tensor(0.2507)
85,tensor(0.0589),0.047686273398798266,tensor(0.2077),tensor(0.1867)
86,tensor(0.0427),0.04963708357298421,tensor(0.1721),tensor(0.1875)
87,tensor(0.0795),0.14621872857850812,tensor(0.2358),tensor(0.3553)
88,tensor(0.0812),0.044446729681661155,tensor(0.2435),tensor(0.1812)
89,tensor(0.0324),0.05442603752886739,tensor(0.1480),tensor(0.2099)
90,tensor(0.0289),0.11555980905484596,tensor(0.1408),tensor(0.3068)
91,tensor(0.0280),0.05238360527482478,tensor(0.1436),tensor(0.2049)
92,tensor(0.0218),0.06788262323356788,tensor(0.1194),tensor(0.2351)
93,tensor(0.0427),0.046117166274658436,tensor(0.1701),tensor(0.1871)
94,tensor(0.0342),0.048712752781199575,tensor(0.1471),tensor(0.1955)
95,tensor(0.0287),0.053545956583222525,tensor(0.1404),tensor(0.2057)
96,tensor(0.0378),0.05169327178759797,tensor(0.1617),tensor(0.2003)
97,tensor(0.0188),0.04085825041574263,tensor(0.1109),tensor(0.1713)
98,tensor(0.0269),0.04884316841799925,tensor(0.1405),tensor(0.1945)
99,tensor(0.0282),0.07324999215711879,tensor(0.1441),tensor(0.2442)
100,tensor(0.0274),0.05476206308411949,tensor(0.1356),tensor(0.2091)
101,tensor(0.0206),0.05523847136284127,tensor(0.1207),tensor(0.2087)
102,tensor(0.0212),0.04573364613816896,tensor(0.1188),tensor(0.1763)
103,tensor(0.0659),0.053628626007746164,tensor(0.2084),tensor(0.2067)
104,tensor(0.0468),0.07109242338498743,tensor(0.1713),tensor(0.2395)
105,tensor(0.0820),0.04847998356134975,tensor(0.2254),tensor(0.1934)
106,tensor(0.0604),0.04485835297330344,tensor(0.1950),tensor(0.1776)
107,tensor(0.0901),0.11852361325623924,tensor(0.2593),tensor(0.3194)
108,tensor(0.0950),0.05154290272046156,tensor(0.2697),tensor(0.1986)
109,tensor(0.0441),0.05919449456789846,tensor(0.1810),tensor(0.1986)
110,tensor(0.0480),0.04897610045940495,tensor(0.1956),tensor(0.1967)
111,tensor(0.0532),0.08449056976500188,tensor(0.2070),tensor(0.2658)
112,tensor(0.0392),0.0465874227655305,tensor(0.1667),tensor(0.1858)
113,tensor(0.0473),0.04614987218542321,tensor(0.1818),tensor(0.1895)
114,tensor(0.0727),0.12561510807693235,tensor(0.2373),tensor(0.3325)
115,tensor(0.0525),0.056489282371005194,tensor(0.1955),tensor(0.1920)
116,tensor(0.0319),0.10195900433142362,tensor(0.1491),tensor(0.2957)
117,tensor(0.0324),0.0448636876614873,tensor(0.1530),tensor(0.1789)
118,tensor(0.0172),0.073015482480192,tensor(0.1099),tensor(0.2463)
119,tensor(0.0175),0.04169908766036831,tensor(0.1082),tensor(0.1730)
120,tensor(0.0192),0.06286239566042265,tensor(0.1139),tensor(0.2272)
121,tensor(0.0371),0.04370554419169166,tensor(0.1515),tensor(0.1842)
122,tensor(0.0282),0.038734035544706225,tensor(0.1359),tensor(0.1709)
123,tensor(0.0501),0.057101685640760895,tensor(0.1752),tensor(0.2153)
124,tensor(0.0443),0.03878599793762549,tensor(0.1623),tensor(0.1677)
125,tensor(0.0320),0.07528455169864202,tensor(0.1381),tensor(0.2495)
126,tensor(0.0126),0.040228541052613975,tensor(0.0930),tensor(0.1755)
127,tensor(0.0377),0.06766284013652615,tensor(0.1660),tensor(0.2352)
128,tensor(0.0608),0.08309280840455326,tensor(0.2176),tensor(0.2436)
129,tensor(0.0840),0.16455839533750186,tensor(0.2543),tensor(0.3862)
130,tensor(0.0474),0.04365099784972487,tensor(0.1879),tensor(0.1702)
131,tensor(0.0552),0.04499833267689447,tensor(0.1870),tensor(0.1900)
132,tensor(0.0208),0.07289763474800708,tensor(0.1209),tensor(0.2432)
133,tensor(0.0216),0.03816838391444099,tensor(0.1262),tensor(0.1638)
134,tensor(0.0193),0.05379229947808652,tensor(0.1129),tensor(0.2066)
135,tensor(0.0282),0.03701160518372801,tensor(0.1386),tensor(0.1664)
136,tensor(0.0422),0.038080444943580184,tensor(0.1721),tensor(0.1659)
137,tensor(0.0343),0.11162411207007063,tensor(0.1626),tensor(0.3136)
138,tensor(0.0276),0.03602717914310527,tensor(0.1411),tensor(0.1591)
139,tensor(0.0127),0.08429328604431004,tensor(0.0928),tensor(0.2683)
140,tensor(0.0220),0.03903662087214596,tensor(0.1281),tensor(0.1636)
141,tensor(0.0305),0.05447911837859376,tensor(0.1467),tensor(0.2091)
142,tensor(0.0241),0.035108973181549215,tensor(0.1232),tensor(0.1561)
143,tensor(0.0490),0.034607080952898536,tensor(0.1748),tensor(0.1580)
144,tensor(0.0365),0.05374412869143115,tensor(0.1637),tensor(0.2087)
145,tensor(0.0164),0.04884329123661676,tensor(0.1053),tensor(0.1959)
146,tensor(0.0222),0.047216465635087475,tensor(0.1257),tensor(0.1780)
147,tensor(0.0401),0.05714485205796906,tensor(0.1774),tensor(0.2119)
148,tensor(0.0186),0.04259717649262007,tensor(0.1099),tensor(0.1791)
149,tensor(0.0319),0.051606479365422106,tensor(0.1477),tensor(0.1991)
150,tensor(0.0179),0.04295439461557782,tensor(0.1075),tensor(0.1795)
151,tensor(0.0186),0.04206678713400076,tensor(0.1127),tensor(0.1775)
152,tensor(0.0181),0.03488772648752663,tensor(0.1090),tensor(0.1575)
153,tensor(0.0198),0.04602344081907421,tensor(0.1126),tensor(0.1891)
154,tensor(0.0310),0.0394804697730198,tensor(0.1433),tensor(0.1695)
155,tensor(0.0172),0.03933391335206505,tensor(0.1088),tensor(0.1693)
156,tensor(0.0155),0.06126705181679837,tensor(0.1036),tensor(0.2203)
157,tensor(0.0185),0.04101223256511447,tensor(0.1166),tensor(0.1733)
158,tensor(0.0202),0.039124205128692004,tensor(0.1187),tensor(0.1674)
159,tensor(0.0237),0.07743867119984404,tensor(0.1316),tensor(0.2536)
160,tensor(0.0120),0.03701897236565672,tensor(0.0909),tensor(0.1647)
161,tensor(0.0212),0.033176485028712205,tensor(0.1241),tensor(0.1518)
162,tensor(0.0115),0.06367360464213886,tensor(0.0875),tensor(0.2287)
163,tensor(0.0352),0.05631426849369873,tensor(0.1595),tensor(0.2112)
164,tensor(0.0337),0.03832455976695866,tensor(0.1425),tensor(0.1659)
165,tensor(0.0311),0.04289879341127808,tensor(0.1368),tensor(0.1790)
166,tensor(0.0213),0.048582454353339015,tensor(0.1202),tensor(0.1911)
167,tensor(0.0262),0.03948603593653742,tensor(0.1316),tensor(0.1668)
168,tensor(0.0228),0.03631049593193058,tensor(0.1257),tensor(0.1603)
169,tensor(0.0250),0.0934536193682294,tensor(0.1355),tensor(0.2794)
170,tensor(0.0221),0.04096331841634869,tensor(0.1302),tensor(0.1702)
171,tensor(0.0278),0.0445215488541219,tensor(0.1404),tensor(0.1820)
172,tensor(0.0351),0.07641599807120018,tensor(0.1655),tensor(0.2459)
173,tensor(0.0208),0.050339374604276184,tensor(0.1250),tensor(0.1845)
174,tensor(0.0341),0.07381074347964521,tensor(0.1581),tensor(0.2425)
175,tensor(0.0175),0.04291473662458969,tensor(0.1115),tensor(0.1750)
176,tensor(0.0203),0.08725427041837677,tensor(0.1218),tensor(0.2652)
177,tensor(0.0131),0.04001717353493323,tensor(0.0961),tensor(0.1700)
178,tensor(0.0128),0.0744531014897944,tensor(0.0954),tensor(0.2439)
179,tensor(0.0165),0.04104365273614338,tensor(0.1110),tensor(0.1722)
180,tensor(0.0118),0.04829854077518218,tensor(0.0922),tensor(0.1925)
181,tensor(0.0124),0.055123022253759174,tensor(0.0951),tensor(0.2077)
182,tensor(0.0199),0.038884499005190594,tensor(0.1134),tensor(0.1680)
183,tensor(0.0158),0.052809628792078116,tensor(0.0965),tensor(0.2007)
184,tensor(0.0123),0.04147199854428666,tensor(0.0873),tensor(0.1768)
185,tensor(0.0099),0.059754503057392654,tensor(0.0829),tensor(0.2152)
186,tensor(0.0132),0.038401397372730045,tensor(0.0923),tensor(0.1653)
187,tensor(0.0144),0.04613165570430255,tensor(0.0990),tensor(0.1867)
188,tensor(0.0160),0.05577469095297825,tensor(0.1031),tensor(0.2055)
189,tensor(0.0120),0.040239627737595415,tensor(0.0919),tensor(0.1707)
190,tensor(0.0092),0.05590049568781129,tensor(0.0799),tensor(0.2080)
191,tensor(0.0132),0.037519127376928404,tensor(0.0896),tensor(0.1632)
192,tensor(0.0234),0.06406722478713507,tensor(0.1248),tensor(0.2268)
193,tensor(0.0566),0.03724698963346764,tensor(0.2193),tensor(0.1632)
194,tensor(0.0307),0.03654604015241337,tensor(0.1499),tensor(0.1625)
195,tensor(0.0284),0.06139775271371645,tensor(0.1483),tensor(0.2193)
